,MAQCA,MAQCB
ENSG00000000003,21.51,24.43
ENSG00000000005,26.05,30.39
ENSG00000000419,18.91,21.28
ENSG00000000457,23.58,23.91
ENSG00000000460,20.65,23.45
ENSG00000000938,30.48,25.07
ENSG00000000971,22.44,22.66
ENSG00000001036,19.49,22.07
ENSG00000001084,24.45,25.54
ENSG00000001167,20.48,21.34
ENSG00000001460,23.15,23.14
ENSG00000001461,21.94,20.19
ENSG00000001497,19.79,21.14
ENSG00000001561,23.68,20.69
ENSG00000001617,23.02,24.44
ENSG00000001626,29.14,28.13
ENSG00000001629,20.65,20.97
ENSG00000001630,20.24,21.08
ENSG00000001631,22.37,23.2
ENSG00000002016,22.28,23.18
ENSG00000002330,21.75,21.48
ENSG00000002549,20.2,20.91
ENSG00000002586,24.49,27.39
ENSG00000002587,28.46,24.06
ENSG00000002726,27.67,33.2
ENSG00000002745,31.48,27.16
ENSG00000002746,24.43,20.21
ENSG00000002822,21.29,22.47
ENSG00000002834,19.03,20.39
ENSG00000002919,27.41,27.71
ENSG00000002933,26.84,23.11
ENSG00000003056,19.48,20.81
ENSG00000003096,23.32,24.09
ENSG00000003137,25.71,22.06
ENSG00000003147,22.47,21.35
ENSG00000003249,21.93,21.6
ENSG00000003393,23.78,22.08
ENSG00000003400,22,25.03
ENSG00000003402,20.73,20.83
ENSG00000003436,19.85,25.3
ENSG00000003509,21.69,21.92
ENSG00000003756,19.96,20.27
ENSG00000003987,27.81,21.83
ENSG00000003989,19.5,22.08
ENSG00000004059,21.22,21.05
ENSG00000004139,24.14,23.48
ENSG00000004399,20.09,21.16
ENSG00000004455,22.87,24.53
ENSG00000004468,22.25,24.07
ENSG00000004478,19.86,20.84
ENSG00000004487,19.58,21.33
ENSG00000004534,20.24,20.73
ENSG00000004660,23.77,20.31
ENSG00000004700,21.16,22.79
ENSG00000004766,21.01,20.89
ENSG00000004777,22.17,21.62
ENSG00000004779,18.55,19.64
ENSG00000004799,23.54,22.79
ENSG00000004809,31.19,31.85
ENSG00000004838,25.22,26.21
ENSG00000004846,23.03,34.21
ENSG00000004848,28.19,23.32
ENSG00000004864,23.08,26.03
ENSG00000004866,21.99,22.14
ENSG00000004897,20.38,21.23
ENSG00000004939,25.77,28.07
ENSG00000004948,27.13,30.41
ENSG00000004961,22.08,23.2
ENSG00000004975,20.96,22.17
ENSG00000005001,27.09,27.22
ENSG00000005007,20.15,20.5
ENSG00000005020,22.21,22.93
ENSG00000005022,17.9,20.02
ENSG00000005059,22.05,24.65
ENSG00000005073,24.06,35.82
ENSG00000005075,0,0
ENSG00000005100,21.27,22.58
